"אֲאַזֶּרְ","247"
"אֲאַלֶּפְ","502"
"אַאֲמִין","539"
"אֲאַמִּצְ","553"
"אֶאֱסֹף","622"
"אָאֹר","779"
"אַאֲרִיךְ","748"
"אֲב","2"
"אֲבֽ","2"
"אִבּ","3"
"אַב","1"
"אַבִ","2"
"אָֽב","1"
"אָב","1"
"אָבִ","1"
"אָבִֽ","1"
"אֲבִאֵ","935"
"אָֽבֹא","935"
"אָבִא","935"
"אָבֹא","935"
"אבא","935"
"אָבֹאָה","935"
"אֲבִגָיִל","26"
"אֲבַגְתָא","5"
"אֲבָדְ","6"
"אֲבֹד","6"
"אִבְּדָ","6"
"אִבַּד","6"
"אַבְּדֵ","6"
"אַבְּדָ","6"
"אַבְּדָֽ","6"
"אַבֵּד","6"
"אַבֶּדְ","6"
"אָבְדֶֽ","6"
"אָבְדָ","6"
"אָבַד","6"
"אָבָֽד","6"
"אָבָד","6"
"אָבֹד","6"
"אֹבֵֽד","6"
"אֹבֵֽד","8"
"אֹבֵד","6"
"אֹבַד","6"
"אֲבֵדָה","9"
"אָֽבְדָה","6"
"אָבְדָה","6"
"אָבָֽדָה","6"
"אָבָדָה","6"
"אבדה","10"
"אֲבַדּוֹ","10"
"אָֽבְדוּ","6"
"אָבְדוּ","6"
"אָבָֽדוּ","6"
"אֲבַדּֽוֹן","11"
"אֲבַדּוֹן","11"
"אֹֽבְדוֹת","6"
"אֹבְדוֹת","6"
"אַבְדִּילָ","914"
"אֹֽבְדִים","6"
"אַבְדִּל","914"
"אַבְדָן","12"
"אָבְדַן","13"
"אָבַדְנוּ","6"
"אָבָֽדְנוּ","6"
"אֲבֵדַת","9"
"אִבַּדְתָּ","6"
"אָבַדְתְּ","6"
"אָבַדְתָּ","6"
"אֹבֶדֶת","6"
"אִבַּדְתִּי","6"
"אָבַדְתִּי","6"
"אָבָֽדְתִּי","6"
"אֲבַדְתֶּֽם","6"
"אֲבַדְתֶּם","6"
"אִבַּדְתֶּם","6"
"אֵבֶה","16"
"אָבָה","14"
"אֶבָּהֵל","926"
"אֲבָהֳתַ","2"
"אֲבָהָתִ","2"
"אֲבָהָתָ","2"
"אָבוּ","14"
"אָבֽוֹא","935"
"אָבוֹא","935"
"אָבוּא","14"
"אָבוֹאָה","935"
"אבוגיל","26"
"אֲבוֹי","17"
"אֲבוּסֶ","947"
"אֲבוּסֶֽ","18"
"אֵבוּס","18"
"אָבוּס","75"
"אָבוּס","947"
"אֲבוּסִֽים","75"
"אֵבֽוֹשׁ","954"
"אֵבוֹשׁ","954"
"אֵבוֹשָׁה","954"
"אֲבֽוֹתֵ","1"
"אֲבוֹת","1"
"אֲבוֹתַ","1"
"אֲבוֹתָ","1"
"אֲבוֹתָֽ","1"
"אֲבוֹתָֽ","1004b"
"אָבֽוֹת","1"
"אָבוֹת","1"
"אֹבוֹת","178"
"אֲבֽוֹתֵי","1"
"אֲבוֹתֵֽי","1"
"אֲבוֹתֵי","1"
"אֲבוֹתֶֽי","1"
"אֲבוֹתֶי","1"
"אֲבוֹתָי","1"
"אֶבְחָֽנְ","974"
"אֶֽבֲחַר","977"
"אֶבְחַר","977"
"אֶבְחָרֵ","977"
"אֶבְחֲרָה","977"
"אִבְחַת","19"
"אֶבְטַח","982"
"אֶבְטָֽח","982"
"אֶבְטָח","982"
"אֲבַטִּחִים","20"
"אֲבִֽי","1"
"אֲבִֽי","45+"
"אֲבִי","1"
"אֲבִי","21"
"אֲבִי","33+"
"אֲבִי","5703"
"אִבֵּי","3"
"אָבִֽי","1"
"אָבִי","1"
"אָבִי","15"
"אָבִי","935"
"אָּבִי","1"
"אבי","935"
"אֲבִֽיאֲ","935"
"אֲבִיאֵ","935"
"אֲבִיאֶ","935"
"אָבִיא","935"
"אֲבִיאֵֽל","22"
"אֲבִיאֵל","22"
"אֲבִיאָסָף","23"
"אָבִֽיב","24"
"אָבִיב","24"
"אָבִיב","8512"
"אֲֽבִיגַיִל","26"
"אֲבִיגַיִל","26"
"אֲבִיגָיִל","26"
"אֲבִיגַל","26"
"אביגל","26"
"אֹבִידָה","6"
"אֲבִידָן","27"
"אֲבִידָע","28"
"אֲבִיָּֽה","29"
"אֲבִיָּה","29"
"אֲבִיָּהוּ","29"
"אֲבִיהוּא","30"
"אֲבִיהֽוּד","31"
"אֲבִיהַיִל","32"
"אֲבִיהָיִל","32"
"אָבִיו","1"
"אֶבְיֽוֹן","34"
"אֶבְיוֹן","34"
"אֲבִיּוֹנָה","35"
"אֶבְיוֹנֵי","34"
"אֶבְיוֹנֶי","34"
"אֶבְיוֹנִֽים","34"
"אֶבְיוֹנִים","34"
"אֲבִיחַיִל","32"
"אֲבִיחָיִל","32"
"אַבִּֽיט","5027"
"אַבִּיט","5027"
"אַבִּיטָה","5027"
"אֲבִיטוּב","36"
"אֲבִיטָֽל","37"
"אֲבִיטָל","37"
"אֲבִיָּם","38"
"אֹבִים","14"
"אֲבִֽימָאֵל","39"
"אֲבִימָאֵל","39"
"אֲבִימֶֽלֶךְ","40"
"אֲבִימֶלֶךְ","40"
"אֲבִימֶּלֶךְ","40"
"אָבִין","995"
"אֶבְיֹנְ","34"
"אָבִינָ","995"
"אֲבִֽינָדָב","1125"
"אֲבִֽינָדָב","41"
"אֲבִינָדָב","41"
"אָבִינָה","995"
"אֶבְיֹנֵי","34"
"אֶבְיֹנִֽים","34"
"אֲבִינֹֽעַם","42"
"אֲבִינֹעַם","42"
"אֲבִינֵר","74"
"אֶבְיָסָף","43"
"אַבִּיעָה","5042"
"אֲבִיעֶֽזֶר","44"
"אֲבִיעֶזֶר","44"
"אֲבִיר","46"
"אַבִּיר","47"
"אַבִּירַ","47"
"אבִּיר","47"
"אַבִּירֵי","47"
"אַבִּירֶי","47"
"אַבִּירָֽי","47"
"אַבִּירָי","47"
"אַבִּירִים","47"
"אֲבִירָֽם","48"
"אֲבִירָם","48"
"אֲבִישַׁג","49"
"אֲבִישֽׁוּעַ","50"
"אֲבִישׁוּעַ","50"
"אֲבִישֽׁוּר","51"
"אֲבִישׁוּר","51"
"אֲבִישַׁי","52"
"אֲבִישָׁלֽוֹם","53"
"אָבִיתִי","14"
"אֲבִיתֶֽם","14"
"אֲבִיתֶם","14"
"אֶבְיָתָֽר","54"
"אֶבְיָתָר","54"
"אֶבְכֶּה","1058"
"אֲבֶל","57"
"אֲבָל","61"
"אֵֽבֶל","60"
"אֵבֶל","60"
"אֶבְלֵֽ","60"
"אֶבְלָ","60"
"אָבֵל","57"
"אָבֵל","58"
"אָבֵל","59"
"אָבֵל","62+"
"אָבֵל","63+"
"אָבֵל","65+"
"אָבֵל","66+"
"אָבֵל","67+"
"אָבֵלָ","59"
"אָבַל","56"
"אֻבָל","180"
"אָבְלָה","56"
"אָֽבְלוּ","56"
"אָבְלוּ","56"
"אֲבֵלוֹת","57"
"אֲבֵלֵי","57"
"אֲבֵלָֽי","57"
"אַבְלִֽיגָה","1082"
"אַבְלִיגָה","1082"
"אֲבֵלִֽים","57"
"אֲבֵלִים","57"
"אֲבַלֵּעַ","1104"
"אֲבַלַּע","1104"
"אֶֽבֶן","68"
"אֶבֶן","68"
"אֶבֶן","69"
"אֶבֶן","72+"
"אָֽבֶן","68"
"אָבֶן","68"
"אֶבְנֵ","1129"
"אֶבְנֶֽ","1129"
"אַבְנ","68"
"אַבְנָ","69"
"אַבְנָֽ","69"
"אִבָּנֶה","1129"
"אֶבְנֶה","1129"
"אבנה","71"
"אַבְנֵֽטְ","73"
"אַבְנֵט","73"
"אַבְנֵטִים","73"
"אֲבָנֶי","68"
"אֲבָנַיִ","68"
"אֲבָנָֽי","68"
"אֲבָנָי","68"
"אַבְנֵי","68"
"אֲבָנִֽים","68"
"אֲבָנִים","68"
"אָבְנָֽיִם","70"
"אָבְנָיִם","70"
"אַבְנֵֽר","74"
"אַבְנֵר","74"
"אֶבְעֵֽא","1156"
"אֲבַעְבֻּעֹת","76"
"אָֽבֶץ","77"
"אִבְצָן","78"
"אֲבַק","80"
"אֲבָקָ","80"
"אָבָק","80"
"אֲבַקֵּר","1239"
"אֲבַקְשֵׁ","1245"
"אֲבַקְשֶׁ","1245"
"אֲבַקְשָׁ","1245"
